date,US,how long contagious,how long is flu contagious,contagious flu,is flu contagious,flu contagious,fever cough,get rid of flu,cough fever,flu type a,type a flu,is the flu contagious,how long is the flu contagious,how contagious is the flu,flu type,tamiflu side effects,how long are you contagious,flu remedies,get rid of the flu,fever and cough,incubation period flu
2010-10-09,1.13505,53.34509304342962,0.0,15.580716206543464,6.47729867786544,14.874241188061944,16.145308774024862,6.033673608907933,15.115522605687222,0.0,0.0,0.0,0.0,0.0,7.043290249159792,0.0,8.57244415306543,8.918285753238063,0.0,8.47370200776201,0.0
2010-10-16,1.25256,50.37679644024375,0.0,12.796191493003136,0.0,12.40719077607665,26.706310883675684,0.0,32.23596251443652,0.0,0.0,0.0,0.0,0.0,10.521863963676353,0.0,13.167698036423088,12.005290581087229,0.0,9.596554528883866,0.0
2010-10-23,1.2457,51.16971899104552,0.0,10.750764784017033,9.537125465519134,15.115631929503753,20.19918670332461,10.252677041242658,20.24878178942332,0.0,0.0,0.0,0.0,0.0,11.050250899252324,0.0,0.0,14.29600662114968,0.0,5.999286009637225,0.0
2010-10-30,1.26774,53.54639669955628,0.0,23.897594962719225,6.8154591094100265,23.107661705174653,19.14180027698578,9.28740706117407,20.436972193612,0.0,0.0,6.392362687813972,0.0,0.0,11.778477591724275,0.0,6.187238404998313,12.047948588939612,0.0,5.749816214942798,9.783509790599895
2010-11-06,1.43723,52.57652902459492,0.0,15.023035124448423,6.4214416963378405,17.583632829463106,26.858439971621248,7.379947514333912,22.898044878448207,0.0,0.0,0.0,0.0,0.0,5.183194611988071,0.0,8.400136112122635,13.030734991478257,0.0,18.9740849395484,0.0
2010-11-13,1.53341,60.5378888719024,0.0,14.086586487618897,8.042258688317846,16.331691369611782,20.993997608368936,5.582361198935184,19.30724698162439,0.0,0.0,6.468218302882777,0.0,5.894317562618498,15.98377148921388,0.0,6.346019042947964,14.892113998536226,0.0,5.17363269542354,5.464005972101683
2010-11-20,1.69445,67.96012224235815,7.671764510229527,22.62876001853061,13.65360902341028,20.693938390429096,24.84559019840956,10.615026158437592,25.289099711679278,0.0,0.0,6.646402419013742,0.0,0.0,7.247065241840879,0.0,11.694131844330142,14.903701672043711,5.133754877849372,8.36006993931779,0.0
2010-11-27,1.9915,64.55621932161621,10.794302573099676,30.935792511764877,14.06943536063068,32.832684139517625,19.67363949085393,13.552944193868054,19.549409008164112,0.0,0.0,9.456691421714185,7.096651689218558,6.414976489644842,6.859672303116519,0.0,11.715598935661475,27.11611827902956,9.68200059966773,7.634137143094357,5.925450808074378
2010-12-04,1.81305,66.84629015950456,9.06671299703456,22.85897845187245,14.576743821566945,22.887201816656024,29.12457637579007,11.67265467841724,30.332750581626783,0.0,0.0,7.320947690092553,0.0,0.0,6.876025492885569,0.0,6.00379988840388,16.78685777616303,8.319755751695936,9.914387871415556,5.951650765318342
2010-12-11,2.01426,62.988123850291046,0.0,20.327072036818063,10.955032222301153,22.686918794216293,28.688347595067857,17.565572606478092,27.745188675001,8.60042118594345,8.600421185943452,7.08897220612154,0.0,0.0,10.2775592402451,5.512551596512956,6.979367853553289,16.97045853696675,9.811145289199256,9.270253155094885,4.792305505283135
